Precio,cantidad de reseñas,decripcion,rating,Nombre,Peso,Unidad
69.9,11.0,"Real IsolatePRO presenta un elevado porcentaje de proteína aislada de suero con certificación Promiko®, una fórmula que reduce los hidratos de carbono y acelera el proceso de absorción de los aminoácidos. ",4.3, Real IsolatePRO,2.0,Kg
76.3,127.0,Whey Pure Fusion de Amix es una proteína obtenida de aislado y concentrado de suero de una gran calidad con un alto contenido en aminoácidos ramificados y esenciales. Se trata de un proteína pura con una cantidad reducida de grasa y un bajo aporte de calorías. ,4.7,,0.0,
29.9,70.0,"PurePRO Creatine es el suplemento perfecto para llevar tu rendimiento físico al máximo. Con sello Creapure®, esta creatina significa sinónimo de calidad en materia prima.",4.8, PurePRO Creatine (Creapure®),500.0,gr
91.8,188.0,"IsoPrime CFM Whey Isolate de Amix es una de las proteínas de mayor calidad del mercado. Ha sido fabricada con una tecnología de última generación para aportarnos un valor biológico muy alto y que conjuntamente con el entrenamiento, consigamos una definición muscular de una forma sana y segura.",4.7, Isoprime CFM Isolate,2.0,Kg
16.92,1.0,"El suplemento L-Carnitine Pro de la marca PROFIT es una combinación de L-carnitina, específicamente en su forma de Carnipure, y vitamina B3 (niacina). La L-carnitina es un compuesto natural que desempeña un papel crucial en el metabolismo energético al ayudar en el transporte de ácidos grasos a las mitocondrias, donde se queman para producir energía. Esto puede ser beneficioso para aquellos que buscan mejorar la capacidad de su cuerpo para utilizar las reservas de grasa como fuente de energía durante el ejercicio o para promover la pérdida de peso.",5.0, L-Carnitine Pro 3000 20 Serv. x,15.0,ml
29.99,1.0,Platinum Creatine de Optimum Nutrition es un suplemento premium diseñado para atletas y entusiastas del fitness que buscan mejorar su rendimiento y optimizar su recuperación. Este producto ofrece una formulación avanzada que combina ingredientes de alta calidad y científicamente respaldados para proporcionar resultados efectivos y seguros.,4.0, Platinum Creatine,350.0,gr
29.95,2.0,"Platinum PUMP Pre-Workout de Optimum Nutrition es un pre-entreno sin cafeína de alta calidad diseñado para mejorar el rendimiento durante las sesiones de entrenamiento intensivo. Formulado por una de las marcas más reconocidas en la industria de la nutrición deportiva, este pre-entrenamiento se destaca por su combinación potente y efectiva de ingredientes, que buscan optimizar la energía, la resistencia y el enfoque mental.",5.0, Platinum PUMP Pre-Workout,380.0,gr
34.99,1.0,"Platinum Preworkout de Optimum Nutrition es un suplemento deportivo de alta calidad diseñado para mejorar el rendimiento durante las sesiones de entrenamiento intensivo. Formulado por una de las marcas más reconocidas en la industria de la nutrición deportiva, este pre-entrenamiento se destaca por su combinación potente y efectiva de ingredientes, que buscan optimizar la energía, la resistencia y el enfoque mental.",5.0, Platinum Preworkout,420.0,gr
21.17,28.0,JointPRO Collagen es el suplemento perfecto para aportar esa dosis extra de colágeno a tu cuerpo y que éste mejore la flexibilidad y elasticidad tanto de tus músculos como de tus órganos.,5.0, JointPRO Collagen,350.0,gr
63.19,261.0,100% Whey Protein Professional de Scitec Nutrition es una mezcla de proteína de concentrado de suero de gran calidad y de proteínas aislada de suero con una gran variedad de sabores. Las proteínas son fuentes de nitrógeno y de aminoácidos que son necesarios para el mantenimiento y el desarrollo de los músculos. ,4.8,,0.0,
